1	W AH N
100	W AH N HH AH N D R AH D
11	IH L EH V AH N
11th	IH L EH V AH N TH
12	T W EH L V
13th	TH ER T IY N TH
15th	F IH F T IY N TH
18th	EY T IY N TH
2	T UW
20	T W EH N T IY
200	T UW HH AH N D R AH D
21	T W EH N T IY W AO N
24	T W EH N T IY F AO R
2nd	S EH K AH N D
3	TH R IY
30	TH ER D IY
4	F OW R
4th	F AO R TH
5AM	F AY V EY EH M
6	S IH K S
60	S IH K S T IY
63	S IH K S T IY TH R IY
70	S EH V AH N T IY
72nd	S EH V AH N T IY S EH K AH N D
75	S EH V AH N T IY F AY V
9	N AY N
ABUIN	AH B UW N
AGEING	EY JH IH NG
AJDABIYA	AE JH D AH B IY AY AH
ALEP	AE L AH P
ALIGHTING	AH L AY T IH NG
ALZHEIMERS	AE L Z HH IY M AH R Z
AWOKEN	AH W OW K AH N
BAIRN	B AE AH R N
BAIRN'S	B AE AH R N Z
BAW	B AO
BEDDIE	B EH D IY
BEGGAR'S	B EH G ER Z
BINGS	B IY IH NG Z
BOARDWALKING	B OW R D W AO K IH NG
BOMBIN	B AA M IH N
BONFIRE'S	B AA N F AY ER Z
BOSSOM	B AA S AH M
BOTHY	B AA TH IY
BRAITH	B R EY TH
BRENNIN	B R EH N AH N
BUGLER	B Y UW G AH L ER
BULBUL	B UH L B AH L
BURDS	B AH R D Z
BURN'S	B ER N Z
BYGAUN	B IH G AH N
CAFÈ	K AE F
CAILLEACH	K EY L IY CH
CAMELLIA	K AH M IY L Y AH
CAMPOUT	K AE M P AW T
CANDLELIT	K AE N D AH L IH T
CAUNLES	K AO N AH L Z
CEMETARY	S EH M AH T EH R IY
CHAUMER	CH AO M AH R
CHEERIES	CH IH ER IY Z
CHILDHOOD'S	CH AY L D HH UH D Z
CHRYSANTHAMUMS	K R AH S AE N TH AH M AH M Z
CHUNTERING	CH AH N T IY R AH NG
CITYSCAPE	S IH T IY S K EY P
CLACKING	K L AE K AH NG
CLEANER'S	K L IY N ER Z
CLOTHESLINE	K L OW DH Z L AY N
CONFORMATION	K AA N F AO R M EY SH AH N
COORT	K OW AO R T
COORTIN	K OW AO R T AH N
CORN'S	K AO R N Z
COTTONFIELDS	K AA T AH N F IY L D Z
CRESCENT'S	K R EH S AH N TS
CROTON	K R AA T AH N
DAMSELFLIES	D AE M Z AH L F L AY Z
DARKENS	D AA R K AH N Z
DAWIN	D AO AH N
DEID	D IY IH D
DEWED	D IY W EH D
DOON	D UW AO N
DRAGONFLIES	D R AE G AH N F L AY Z
DRAGONFLY	D R AE G AH N F L AY
DRAGONFLY'S	D R AE G AH N F L AY Z
DRIPPINGS	D R IH P IH NG Z
DUDOON	D Y UW D UW N
DUMPIN'S	D AH M P IH N Z
DUNT	D AH N T
DUSKY	D AH S K IY
EDDYING	EH D IY IH NG
EEIN	IY AH N
EFTER	EH F T AH R
EGRETS	IY G R AH T S
EID'S	AY D Z
ENLIGHTMENT	EH N L AY T M AH N T
FAIMILY	F EY M AH L IY
FAITHER'S	F EY TH ER Z
FAMILAR	F EY M AH L AH R
FIRELIGHT	F AY ER L AY T
FIREPIT	F AY ER P IH T
FIREWORK'S	F AY R W ER K S
FLAVOURED	F L AH V OW Y AH R D
FOEHN	F OW AH N
FOGGED	F AA G D
FOONERAL	F UW N AH R AH L
FOOTBRIDGE	F UH T B R IH JH
FOU	F UW
FRAE	F R IY
FREESTY	F R IY S T IY
FUFFS	F AH F S
FUSHIN	F AH SH AH N
GARDEVINE	G AA R D AH V AY N
GEMINIDS	JH EH M IH N AH D Z
GIBBOUS	JH IH B AH S
GINKO	JH IH NG K OW
GLEANERS	G L IY N ER Z
GOGH'S	G OW Z
GRAITH	G R EY TH
GRANFAITHER	G R AE N F EY DH AH R
GRANITA	G R AE N AH T AH
GREYNESS	G R EY N AH S
GUID	G UW D
GURGLES	G ER G AH L Z
HABEMUS	HH AE B AH M AH S
HAILSTANES	HH EY L S T EY N Z
HAME	HH EY M
HAMELESS	HH EY M L AH S
HAWK'S	HH AO K S
HEDGEROW	HH EH JH R OW
HIBISCUS	HH AH B IH S AH S
HOGMANAY	HH AA G M AA N AH IY
HORIZONLESS	HH AH R AY Z AH N L AH S
HUESO'S	HH Y UW AH S AH Z
HUNKERS	HH AH NG K ER Z
HURKLE	HH AH R K AH L
ICEBLEAK	AY S B L IY K
IDES	AY D Z
JALOUSIES	JH AE L AW S AY Z
