haiku,0,1,2,lang,0_syllables,1_syllables,2_syllables
"jesus smiles grabs his guitar and plays
a couple of familiar riffs crooning take it
take another little piece of my heart now baby",jesus smiles grabs his guitar and plays,a couple of familiar riffs crooning take it,take another little piece of my heart now baby,en,9,12,13
"you do a lot more talking in your sleep
than you used to do now you're growing old
i wonder what there is for me to keep",you do a lot more talking in your sleep,than you used to do now you're growing old,i wonder what there is for me to keep,en,10,10,10
"look back: you see the path we chose was steep
and needed all our strength  but we were bold
it took our breath and left us only sleep",look back: you see the path we chose was steep,and needed all our strength  but we were bold,it took our breath and left us only sleep,en,10,"10,11","10,11,12"
"there was a time when talk of love came cheap
and what was bought was what the other sold
there was so much we didn't think to keep",there was a time when talk of love came cheap,and what was bought was what the other sold,there was so much we didn't think to keep,en,10,10,"9,10"
"if all those words were piled up in a heap
of gold like tokens of love bright and cold
would you desire them or ask for sleep",if all those words were piled up in a heap,of gold like tokens of love bright and cold,would you desire them or ask for sleep,en,10,10,10
"only know you've been high when you're feeling low
disgust the road when you're missing' home
only know you love her when you let her go",only know you've been high when you're feeling low,disgust the road when you're missing' home,only know you love her when you let her go,en,11,9,11
"t
s
eliot would've been ashamed of me",t,s,eliot would've been ashamed of me,en,1,1,10
"nothing is past nothing is lost
one brief moment and all will be as it was before
how we shall laugh at the trouble of parting when we meet again",nothing is past nothing is lost,one brief moment and all will be as it was before,how we shall laugh at the trouble of parting when we meet again,en,8,13,16
"father breath once more farewell
birth you gave was no thing ill
my heart is still as time will tell",father breath once more farewell,birth you gave was no thing ill,my heart is still as time will tell,en,7,7,8
"your eyes were fixed
staring at nothing and
turning into pale blue",your eyes were fixed,staring at nothing and,turning into pale blue,en,4,6,6
"crumbled lives
never to be again
scattered like leaves",crumbled lives,never to be again,scattered like leaves,en,3,6,4
"cute and hot
mountain and beaches
rose gold and the color of peaches",cute and hot,mountain and beaches,rose gold and the color of peaches,en,3,5,9
"o soft and dainty maiden from afar
i watch you as amidst the flowers you move
and pluck them singing",o soft and dainty maiden from afar,i watch you as amidst the flowers you move,and pluck them singing,en,10,11,5
"more golden than all gold your tresses are
never was harp-note like your voice my love
your voice sweet-ringing",more golden than all gold your tresses are,never was harp-note like your voice my love,your voice sweet-ringing,en,10,9,3
"they have been whispering in my ears
besides my heart doth presume
as thou art my life's pearl",they have been whispering in my ears,besides my heart doth presume,as thou art my life's pearl,en,9,7,6
"locked up in passion
never make a promise
but i'll be what he",locked up in passion,never make a promise,but i'll be what he,en,5,6,5
"learning on a curve
and im certain they couldn't stop
the pace in case you doubted",learning on a curve,and im certain they couldn't stop,the pace in case you doubted,en,5,8,7
"i taught you greek
but your painting of
was pure platonic form",i taught you greek,but your painting of,was pure platonic form,en,4,5,6
"you drew the masks
of comedy and tragedy
in perfect harmony",you drew the masks,of comedy and tragedy,in perfect harmony,en,4,8,6
"of course i love you
but if you love me
marry a young woman",of course i love you,but if you love me,marry a young woman,en,5,5,6
"i couldn't stand it
to live with a young
man i being older",i couldn't stand it,to live with a young,man i being older,en,5,5,6
"it was a coincidence that you were from same college as well
i have watched your dance
each and every moves reflects the dance of goddess",it was a coincidence that you were from same college as well,i have watched your dance,each and every moves reflects the dance of goddess,en,16,5,"12,13"
"way down south in dixie
they hung my black young lover
to a cross roads tree",way down south in dixie,they hung my black young lover,to a cross roads tree,en,6,7,5
"way down south in dixie
i asked the white lord jesus
what was the use of prayer",way down south in dixie,i asked the white lord jesus,what was the use of prayer,en,6,7,"6,7"
"way down south in dixie
love is a naked shadow
on a gnarled and naked tree",way down south in dixie,love is a naked shadow,on a gnarled and naked tree,en,6,7,7
