0,1,2,source,0_syllables,1_syllables,2_syllables
Memorial Day --,a shadow for each,white cross,tempslibres,5,5,2
spring rain -,as the doctor speaks,i think of lilacs,tempslibres,"2,3",5,5
spring moonset --,a rice ball for,breakfast,tempslibres,"3,4",4,2
sunny afternoon,an old man lingers,near the mailbox,tempslibres,5,5,4
cinco de mayo,horses roll,in the shallows,tempslibres,5,3,4
quitting time,the smell of rain,in the lobby,tempslibres,3,4,4
waves,slowly cresting towards shore,a faint moon,tempslibres,1,"6,7",3
overnight rain --,the scent of orange blossoms,in a desert town,tempslibres,4,7,5
misty summer rain,calling pheasant,in Zen temple,tempslibres,5,4,4
day is done,poppies amidst,the dying grass,tempslibres,3,4,4
watching clouds,the white petals,of a crushed crocus,tempslibres,3,4,5
mountain stream,   two well placed rocks,the path home,tempslibres,3,4,3
night shift--,in the parking lot car lights,dim near morning,tempslibres,2,7,4
a wild violet,on the sunny hill~,noon time nap,tempslibres,"4,5",5,3
a sunny day,pink haze of the cherry blossoms,over the hill,tempslibres,4,8,4
polished oak --,the freesia's shadow ends,in coffee foam,tempslibres,3,7,4
nobody here,a table in the mountain,speckled with petals,tempslibres,4,7,5
first date,not even noticing,the new moon,tempslibres,2,6,3
vanishing difference . . .,  gliding geese settle onto,    their reflections,tempslibres,"5,6",7,4
distant hawk,a gust of cherry petals,crosses the lawn,tempslibres,3,7,4
Orange sunrise peaks through,The tubes and wires of father's,Life support machine,tempslibres,6,"8,7",5
moonlessness--,so many ways,I want to touch you,tempslibres,3,4,5
earth day--,even the shadows at dusk,smell green,tempslibres,2,7,2
so cold -,a goose honks its way,across the night sky,tempslibres,2,5,5
damp straw . . .,   the day-old colt mesmerized,       by the radio,tempslibres,2,6,5
prying,   at the window . . .,       wind,tempslibres,2,4,1
in winter's wind,the call of a friend,who now has cancer,tempslibres,4,5,5
rainy bridge-,the river flowing,faster,tempslibres,3,5,2
spring breeze-,the balcony's shadows,on my book,tempslibres,"2,3",6,3
winter drizzle,all the passing faces look,into the cafe,tempslibres,4,7,5
smells of spring,adrift in the morning air,bubbles under ice,tempslibres,"3,4",7,5
Spring morning,your hand on my breast,a bird,tempslibres,"3,4",5,2
crossroads,the brown core,of an apple,tempslibres,2,3,4
hot afternoon,a flirting couple,in the memorial's shade,tempslibres,4,5,7
last red in the sky,a small girl's moon face rises,over the counter,tempslibres,5,7,5
