haiku,0,1,2,lang,0_syllables,1_syllables,2_syllables
"rectory roofers
their ladders
take them higher
",rectory roofers,their ladders,take them higher,en,5,3,4
"summer cabin
the ants
do the dishes
",summer cabin,the ants,do the dishes,en,4,2,4
"lagoon at sunrise?
the shadow
chases its pelican
",lagoon at sunrise?,the shadow,chases its pelican,en,5,3,6
"barren trees
even the tiniest twig
embraced by the mist
",barren trees,even the tiniest twig,embraced by the mist,en,3,7,5
"windfall apples
bees tango
to a waltz
",windfall apples,bees tango,to a waltz,en,4,3,3
"that foghorn bawl?
calf separated
from its mother
",that foghorn bawl?,calf separated,from its mother,en,4,5,4
"spray art
the cherry knows
no bounds
",spray art,the cherry knows,no bounds,en,2,4,2
"cold night
the escalating heat
of my old notebook
",cold night,the escalating heat,of my old notebook,en,2,6,5
"fly fishing
my thoughts
untangle
",fly fishing,my thoughts,untangle,en,3,2,3
"arrows of geese
the puppy chases
leaves on the wind
",arrows of geese,the puppy chases,leaves on the wind,en,4,5,4
"absently choking
on a sliver of lemon
near-total eclipse
",absently choking,on a sliver of lemon,near-total eclipse,en,5,7,3
"twilight?
a full moon
between fractured branches
",twilight?,a full moon,between fractured branches,en,2,3,6
"at the tulip festival
she holds a bouquet
of dandelions
",at the tulip festival,she holds a bouquet,of dandelions,en,7,5,5
"random rain splatters
on the sidewalk . . .
polka dots
",random rain splatters,on the sidewalk . . .,polka dots,en,5,4,3
"yukon hike
water sloshes to the beat
of the bear bell
",yukon hike,water sloshes to the beat,of the bear bell,en,3,7,4
"spring rain . . .
the dog's coat finer
than mine
",spring rain . . .,the dog's coat finer,than mine,en,"2,3",5,2
"winter solstice . . .
a furlong of a dream
curls inside me
",winter solstice . . .,a furlong of a dream,curls inside me,en,4,6,4
"autumn sky?
swaying wheat field
shaping the wind
",autumn sky?,swaying wheat field,shaping the wind,en,3,4,4
"blue sky morning
the hospital huffs
the only clouds
",blue sky morning,the hospital huffs,the only clouds,en,4,5,4
"still-life lilies
residents sitting
in the nursing-home lounge
",still-life lilies,residents sitting,in the nursing-home lounge,en,3,5,5
"year's end?
only the sound of mouse clicks
from every desk
",year's end?,only the sound of mouse clicks,from every desk,en,2,7,"4,5"
"high tide
wild blackberry canes
overtake the shore
",high tide,wild blackberry canes,overtake the shore,en,2,5,5
