Unnamed: 0,0,1,2,3,4,5,6,7,8,haiku,lang,0_syllables,1_syllables,2_syllables,3_syllables,4_syllables,5_syllables,6_syllables,7_syllables,8_syllables
3,Memorial Day --,a shadow for each,white cross,,,,,,,"Memorial Day --
a shadow for each
white cross",en,5,5,2,,,,,,
4,spring rain -,as the doctor speaks,i think of lilacs,,,,,,,"spring rain -
as the doctor speaks
i think of lilacs",en,"2,3",5,5,,,,,,
5,spring moonset --,a rice ball for,breakfast,,,,,,,"spring moonset --
a rice ball for
breakfast",en,"3,4",4,2,,,,,,
6,sunny afternoon,an old man lingers,near the mailbox,,,,,,,"sunny afternoon
an old man lingers
near the mailbox",en,5,5,4,,,,,,
7,cinco de mayo,horses roll,in the shallows,,,,,,,"cinco de mayo
horses roll
in the shallows",en,5,3,4,,,,,,
8,quitting time,the smell of rain,in the lobby,,,,,,,"quitting time
the smell of rain
in the lobby",en,3,4,4,,,,,,
9,waves,slowly cresting towards shore,a faint moon,,,,,,,"waves
slowly cresting towards shore
a faint moon",en,1,"6,7",3,,,,,,
10,overnight rain --,the scent of orange blossoms,in a desert town,,,,,,,"overnight rain --
the scent of orange blossoms
in a desert town",en,4,7,5,,,,,,
13,misty summer rain,calling pheasant,in Zen temple,,,,,,,"misty summer rain
calling pheasant
in Zen temple",en,5,4,4,,,,,,
14,day is done,poppies amidst,the dying grass,,,,,,,"day is done
poppies amidst
the dying grass",en,3,4,4,,,,,,
16,watching clouds,the white petals,of a crushed crocus,,,,,,,"watching clouds
the white petals
of a crushed crocus",en,3,4,5,,,,,,
17,mountain stream,   two well placed rocks,the path home,,,,,,,"mountain stream
   two well placed rocks
the path home",en,3,4,3,,,,,,
19,night shift--,in the parking lot car lights,dim near morning,,,,,,,"night shift--
in the parking lot car lights
dim near morning",en,2,7,4,,,,,,
20,a wild violet,on the sunny hill~,noon time nap,,,,,,,"a wild violet
on the sunny hill~
noon time nap",en,"4,5",5,3,,,,,,
21,a sunny day,pink haze of the cherry blossoms,over the hill,,,,,,,"a sunny day
pink haze of the cherry blossoms
over the hill",en,4,8,4,,,,,,
23,polished oak --,the freesia's shadow ends,in coffee foam,,,,,,,"polished oak --
the freesia's shadow ends
in coffee foam",en,3,7,4,,,,,,
25,nobody here,a table in the mountain,speckled with petals,,,,,,,"nobody here
a table in the mountain
speckled with petals",en,4,7,5,,,,,,
26,first date,not even noticing,the new moon,,,,,,,"first date
not even noticing
the new moon",en,2,6,3,,,,,,
27,vanishing difference . . .,  gliding geese settle onto,    their reflections,,,,,,,"vanishing difference . . .
  gliding geese settle onto
    their reflections",en,"5,6",7,4,,,,,,
31,distant hawk,a gust of cherry petals,crosses the lawn,,,,,,,"distant hawk
a gust of cherry petals
crosses the lawn",en,3,7,4,,,,,,
33,Orange sunrise peaks through,The tubes and wires of father's,Life support machine,,,,,,,"Orange sunrise peaks through
The tubes and wires of father's
Life support machine",en,6,"8,7",5,,,,,,
34,moonlessness--,so many ways,I want to touch you,,,,,,,"moonlessness--
so many ways
I want to touch you",en,3,4,5,,,,,,
35,earth day--,even the shadows at dusk,smell green,,,,,,,"earth day--
even the shadows at dusk
smell green",en,2,7,2,,,,,,
37,so cold -,a goose honks its way,across the night sky,,,,,,,"so cold -
a goose honks its way
across the night sky",en,2,5,5,,,,,,
38,damp straw . . .,   the day-old colt mesmerized,       by the radio,,,,,,,"damp straw . . .
   the day-old colt mesmerized
       by the radio",en,2,6,5,,,,,,
39,prying,   at the window . . .,       wind,,,,,,,"prying
   at the window . . .
       wind",en,2,4,1,,,,,,
40,in winter's wind,the call of a friend,who now has cancer,,,,,,,"in winter's wind
the call of a friend
who now has cancer",en,4,5,5,,,,,,
42,rainy bridge-,the river flowing,faster,,,,,,,"rainy bridge-
the river flowing
faster",en,3,5,2,,,,,,
43,spring breeze-,the balcony's shadows,on my book,,,,,,,"spring breeze-
the balcony's shadows
on my book",en,"2,3",6,3,,,,,,
44,winter drizzle,all the passing faces look,into the cafe,,,,,,,"winter drizzle
all the passing faces look
into the cafe",en,4,7,5,,,,,,
45,smells of spring,adrift in the morning air,bubbles under ice,,,,,,,"smells of spring
adrift in the morning air
bubbles under ice",en,"3,4",7,5,,,,,,
46,Spring morning,your hand on my breast,a bird,,,,,,,"Spring morning
your hand on my breast
a bird",en,"3,4",5,2,,,,,,
47,crossroads,the brown core,of an apple,,,,,,,"crossroads
the brown core
of an apple",en,2,3,4,,,,,,
48,hot afternoon,a flirting couple,in the memorial's shade,,,,,,,"hot afternoon
a flirting couple
in the memorial's shade",en,4,5,7,,,,,,
49,last red in the sky,a small girl's moon face rises,over the counter,,,,,,,"last red in the sky
a small girl's moon face rises
over the counter",en,5,7,5,,,,,,
50,day moon,the woman with silver hair,steps back into the shade,,,,,,,"day moon
the woman with silver hair
steps back into the shade",en,2,7,6,,,,,,
51,morning delivery --,snow comes in,with the FedEx man,,,,,,,"morning delivery --
snow comes in
with the FedEx man",en,6,3,5,,,,,,
52,Easter--,an anxious mother calls,in the wind,,,,,,,"Easter--
an anxious mother calls
in the wind",en,2,6,3,,,,,,
55,windless day,the prolific weeds,at the grave site,,,,,,,"windless day
the prolific weeds
at the grave site",en,3,5,4,,,,,,
