haiku,source
"Force and yielding meet
together: An attack
is half repulsed.",gutenberg
"Shafts of broken sunlight
dissolving Convolutions
of torpid cloud.",gutenberg
"The boat drifts to
rest Under the outward
spraying branches.",gutenberg
"She is an iris, Dark
purple, pale rose, Under the gnarled boughs That
shatter their stars of bloom.",gutenberg
"She waves
delicately With the movement
of the tree.",gutenberg
"Of what
is she
dreaming?",gutenberg
"Of long nights lit with orange
lanterns, Of wine cups and compliments and
kisses of the two-sword men.",gutenberg
"And of dawn when weary sleepers Lie
outstretched on the mats of the palace, And of the iris
stalk that is broken in the fountain.",gutenberg
"Autumn winds roll through the
dry leaves On her garments; Autumn
birds shiver Athwart star-hung skies.",gutenberg
"Under the blossoming plum-tree, She expresses
the pilgrimage Of grey souls passing, Athwart love's scarlet
maples To the ash-strewn summit of death.",gutenberg
"Iris-amid-clouds
Must be
her name.",gutenberg
"Tall and lonely
as the mountain-iris,
Cold and distant.",gutenberg
"She has never known
longing: Many have died
for love of her.",gutenberg
"""And the prince came to the craggy
rock But saw only hissing waves So he rested
all day amid them.",gutenberg
""" He listens idly,
He is content
with her voice.",gutenberg
"He dreams it is the
murmur Of distant wave-caps breaking
Upon the painted screen.",gutenberg
"The peony dancer
Swirls orange folds of dusty
robes Through the summer.",gutenberg
"They are spotted with
thunder showers, Falling upon
the crimson petals.",gutenberg
"Heavy blooms Breaking
and spilling fiery cups
Drowsily.",gutenberg
"She is a fierce kitten
leaping in sunlight Towards
the swaying boughs.",gutenberg
"She is a gust of wind, Bending
in parallel curves the boughs
of the willow-tree.",gutenberg
"Gilded hummingbirds are whizzing
Through the palace garden, Deceived by the jade
petals Of the Emperor's jewel-trees.",gutenberg
"The wind half blows
her robes, That subside Listlessly
As swaying pines.",gutenberg
"The wind tosses hers In circles
That recoil upon themselves: How should I
love--as the swaying or tossing wind?",gutenberg
"She glances expectantly
Through the pine avenue, To the cherry-tree summit
Where her lover will appear.",gutenberg
"Faint rose anticipation colours
her, And sunset; She is a cherry-tree that
has taken long to bloom.",gutenberg
"Late summer changes to
autumn: Chrysanthemums are scattered
Behind the palings.",gutenberg
"Gold and
vermilion The
afternoon.",gutenberg
"I wait here dreaming of vermilion
sunsets: In my heart is a half fear
of the chill autumn rain.",gutenberg
"The daimyo
and the courtesan Compliment
each other.",gutenberg
"He invites her to walk
out through the maples, She half refuses,
hiding fear in her heart.",gutenberg
"Far in the shadow The
daimyo's attendant waits,
Nervously fingering his sword.",gutenberg
"She is like the great
rains That fall over the
earth in winter-time.",gutenberg
"Wave on wave her heavy
robes collapse In green torrents
Lashed with slaty foam.",gutenberg
"Downward the sun strikes amid them And
enkindles a lone flower; A violet iris
standing yet in seething pools of grey.",gutenberg
"Gaily he
offers Packets
of merchandise.",gutenberg
"He is a harlequin of
illusions, His nimble features Skip into smiles,
like rainbows, Cheating the villagers.",gutenberg
"But in his heart all the while is
another knowledge, The sorrow of the bleakness
of the long wet winter night.",gutenberg
"One life is a long summer; Tall
hollyhocks stand proud upon its paths; Little yellow
waves of sunlight, Bring scarlet butterflies.",gutenberg
"Another life is a brief autumn, Fierce
storm-rack scrawled with lightning Passed over it Leaving the naked
bleeding earth, Stabbed with the swords of the rain.",gutenberg
"He plots for
he is angry, He sneers
for he is bold.",gutenberg
"He clinches his fist Like a twisted
snake; Coiling itself, preparing to raise its head, Above
the long grasses of the plain.",gutenberg
"I have forgotten how many
times he kissed me, But I cannot forget A swaying
branch--a leaf that fell To earth.",gutenberg
"He stands irresolute
Cloaking the light of
his lantern.",gutenberg
"Tonight he will either find
new love or a sword-thrust, But his soul is
troubled with ghosts of old regret.",gutenberg
"Like vines with crimson
flowers They climb Upwards
Into his heart.",gutenberg
"She was a dream of moons, of fluttering handkerchiefs,
Of flying leaves, of parasols, A riddle made to break my heart; The lightest
impulse To her was more dear than the deep-toned temple bell.",gutenberg
"She fluttered to my sword-hilt an
instant, And then flew away; But who will spend
all day chasing a butterfly?",gutenberg
"Swift waves hissing
Under the moonlight; Tarnished
silver.",gutenberg
"Swaying boats Under
the moonlight, Gold lacquered
prows.",gutenberg
"Is it a vision
Under the
moonlight?",gutenberg
"No, it is only
A beautiful geisha
swaying down the street.",gutenberg
"Out of the rings and the bubbles, The curls and the
swirls of the water, Out of the crystalline shower of drops shattered
in play, Her body and her thoughts arose.",gutenberg
"She dreamed of some lover To whom she
might offer her body Fresh and cool as
a flower born in the rain.",gutenberg
"In their bark of bamboo
reeds The heavenly poetesses
Float across the sky.",gutenberg
"Poems are falling from them Swift as the wind
that shakes the lance-like bamboo leaves; The stars close around like bubbles
Stirred by the silver oars of poems passing.",gutenberg
"Beware, for the
dying vine can hold The
strongest oak.",gutenberg
"Only by
cutting at the root Can love
be altered.",gutenberg
"Late in the night A
rosy glimmer yet defies
the darkness.",gutenberg
"But the evening is growing late, The blinds are
being lowered; She who held your heart and charmed you Is only
a rosy glimmer of flame remembered.",gutenberg
"My thoughts are sparrows passing Through
one great wave that breaks In bubbles of gold
on a black motionless rock.",gutenberg
"Rain rattles on the pavement, Puddles
stand in the bluish stones; Afar in the
Yoshiwara Is she who holds my heart.",gutenberg
"Alas, the torn lantern
of my hope Trembles and sputters
in the rain.",gutenberg
"I saw him pass at twilight;
He was a dark cloud travelling Over
palace roofs With one claw drooping.",gutenberg
"In his face were written
ages Of patient treachery
And the knowledge of his hour.",gutenberg
"One dainty
thrust, no more Than
this, he needs.",gutenberg
"His heart is like a wind Torn between cloud
and butterfly; Whether he will roll passively to
one, Or chase endlessly the other.",gutenberg
"My love for her at first
was like the smoke that drifts Across the
marshes From burning woods.",gutenberg
"But, after she had gone, It
was like the lotus that lifts up Its
heart shaped buds from the dim waters.",gutenberg
"My heart is mournful as
thunder moving Through distant hills Late on
a long still night of autumn.",gutenberg
"My heart is broken and mournful
As rain heard beating Far off in the distance
While earth is parched more near.",gutenberg
"On my heart is the
black badge of exile; I droop over
it, I accept its shame.",gutenberg
"He only can bow to men Lofty as a god
To those beneath him, Who has taken sins and sorrows And whose deathless spirit
leaps Beneath them like a golden carp in the torrent.",gutenberg
"Through the weak spring rains
Two lovers walk together, Holding
together the parasol.",gutenberg
"But the laughing rains
of spring Will break the weak
green shoots of their love.",gutenberg
"His will grow a towering
stalk, Hers, a cowering flower
under it.",gutenberg
"Spring rain falls through the
cherry blossom, In long blue shafts On
grasses strewn with delicate stars.",gutenberg
"The summer rain sifts
through the drooping willow, Shatters
the courtyard Leaving grey pools.",gutenberg
"The autumn rain drives
through the maples Scarlet threads of sorrow,
Towards the snowy earth.",gutenberg
"Would that the rains
of all the winters Might wash
away my grief!",gutenberg
"The cranes have come back to the temple,
The winds are flapping the flags about, Through a
flute of reeds I will blow a song.",gutenberg
"Let my song sigh as the breeze through the
cryptomerias, And pause like long flags flapping, And
dart and flutter aloft, like a wind-bewildered crane.",gutenberg
"Chrysanthemums
bending Before the
wind.",gutenberg
"Chrysanthemums
wavering In the black
choked grasses.",gutenberg
"The wind frowns at them, He
tears off a green and orange stalk
of broken chrysanthemum.",gutenberg
"The chrysanthemums spread
their flattered heads, And scurry
off before the wind.",gutenberg
"Storm-birds of autumn With draggled wings: Sleet-beaten, wind-tattered, snow-frozen, Stopping
in sheer weariness Between the gnarled red pine trees Twisted in doubt and
despair; Whence do you come, pilgrims, Over what snow fields?",gutenberg
"To what southern province
Hidden behind dim peaks,
would you go?",gutenberg
"""Too long were the telling Wherefore
we set out; And where we will find rest
Only the Gods may tell.",gutenberg
"The harmonies of the robes
of this gay lady Are like chants within a temple
sweeping outwards To the morn.",gutenberg
"Sparrows and tame magpies
chatter In the porticoes Lit with many
a lantern.",gutenberg
"There is idle song, Scandal
over full wine cups, Sorrow
does not matter.",gutenberg
"Only beyond the still grey shoji For the
breadth of innumerable countries, Is the sea with
ships asleep In the blue-black starless night.",gutenberg
"A squall
has struck the sea
afar off.",gutenberg
"You can feel it quiver Over the paper
parasol With which she shields her face; In the drawn-together skirts
of her robes, As she turns to meet it.",gutenberg
"Windy evening of autumn, By the
grey-green swirling river, People are resting like still boats Tugging
uneasily at their cramped chains.",gutenberg
"Some are moving slowly Like the easy winds: Brown-blue,
dull-green, the villages in the distance Sleep on the banks of the river:
The waters sullenly clash and murmur.",gutenberg
"The chatter of the
passersby, Is dulled beneath
the grey unquiet sky.",gutenberg
"The green and violet
peacocks With golden
tails Parade.",gutenberg
"Beneath the fluttering
jangling streamers They walk
Violet and gold.",gutenberg
"The green and violet peacocks Through
the golden dusk Showered upon them from the vine-hung lanterns,
Stately, nostalgically, Parade.",gutenberg
"I will scrawl
on the walls of
the night Faces.",gutenberg
"Leering, sneering, scowling, threatening faces;
Weeping, twisting, yelling, howling faces; Faces fixed in a contortion
between a scream and a laugh, Meaningless faces.",gutenberg
"I will cover the walls of night With
faces, Till you do not know If these faces
are but masks, or you the masks for them.",gutenberg
"Faces too grotesque for laughter, Faces
too shattered by pain for tears, Faces of such ugliness
That the ugliness grows beauty.",gutenberg
"They will haunt you morning,
evening, Burning, burning, ever
returning.",gutenberg
"Their own infamy creating,
Till you strike at life and hate it, Burn
your soul up so in hating.",gutenberg
"I will scrawl on the
walls of the night Faces, Pitiless,
Flaring, Staring.",gutenberg
"Her life was like a
swiftly rushing stream Green and scarlet, Falling
into darkness.",gutenberg
"The seasons passed for her, Like
pale iris wilting, Or peonies flying
to ribbons before the storm-gusts.",gutenberg
"The sombre
pine-tops waited until
the seasons had passed.",gutenberg
"Then in her heart they grew The snows
of changeless winter Stirred by the bitter winds of
unsatisfied desire.",gutenberg
"My thoughts are an autumn breeze
Lifting and hurrying Dry rubbish
about in a corner.",gutenberg
"My thoughts are willow
branches Already broken
Motionless at twilight.",gutenberg
"My beloved is like blue smoke that
rises In long slow planes, And wavers Over the
dark paths of old gardens long neglected.",gutenberg
"The wind shakes the mists Making
them quiver With faint drum-tones
of thunder.",gutenberg
"Out of the crane-haunted mists
of autumn, Blue and
brown Rolls the moon.",gutenberg
"There was a city living here long ago, Of
all that city There is only one stone left half-buried in the marsh, With
characters upon it which no one now can read.",gutenberg
"Despair hangs in the broken
folds of my garments; It clogs my footsteps,
Like snow in the cherry bloom.",gutenberg
"In my heart is
the sorrow Of years like
red leaves buried in snow.",gutenberg
"Pilgrims will ascend the road in
early summer, Passing my tombstone
Mossy, long forgotten.",gutenberg
"Girls will laugh and scatter
cherry petals, Sometimes they will rest
in the twisted pine-trees' shade.",gutenberg
"If one presses her warm lips to
this tablet The dust of my body will feel a
thrill, deep down in the silent earth.",gutenberg
"The sky spreads out its poor array Of tattered
flags, Saffron and rose Over the weary huddle of housetops
Smoking their evening pipes in silence.",gutenberg
"The city gleams with lights
this evening Like loud and yawning
laughter from red lips.",gutenberg
"As the fish that leaps from the river, As the dropping
of a November leaf at twilight, As the faint flicker of lightning down the
southern sky, So I saw beauty, far away.",gutenberg
"I dreamed I caught your loveliness In little
silver jars: And when you died I opened them, And
there was only soot within.",gutenberg
"Rain fell so softly, in the
evening, I almost thought it was
the trees that were talking.",gutenberg
"Cities are the toy-boxes Time plays
with: And there are often many doll-houses
Of which the dolls are lost.",gutenberg
"A poet's moods:
Fluttering butterflies
in the rain.",gutenberg
"Grass moves in the
wind, My soul is
backwards blown.",gutenberg
"Land, green-brown; Sea,
brown-grey; Island, dull peacock
blue; Sky, stone-grey.",gutenberg
"Because of the long pallid
petals of white chrysanthemums Waving
to and fro, I dare not go.",gutenberg
"Swallows twittering
at twilight: Waves of heat Churned
to flames by the sun.",gutenberg
"A bell in the fog Creeps out
echoing faintly The pale broad flashes
Of vibrating twilight, Faded gold.",gutenberg
"A piece of paper ready to
toss in the fire, Blackened, scrawled with fragments
of an incomplete song: My soul.",gutenberg
"There is a goddess who
walks shrouded by day: At night she throws
her blue veil over the earth.",gutenberg
"Men only see her
naked glory through the little
holes in the veil.",gutenberg
"An old courtyard
Hidden away In the
afternoon.",gutenberg
