,0,1,2,3,4,5,6,7,8,haiku,lang
0,kiri saite,suterare mura ni,haka nokoru,,,,,,,"kiri saite
suterare mura ni
haka nokoru",et
1,de son fauteuil roulant,l'enfant ne voit par la fenêtre,que le ciel,,,,,,,"de son fauteuil roulant
l'enfant ne voit par la fenêtre
que le ciel",fr
2,clapotis de l'eau -,la radio d'un pêcheur,en sourdine,,,,,,,"clapotis de l'eau -
la radio d'un pêcheur
en sourdine",fr
3,Memorial Day --,a shadow for each,white cross,,,,,,,"Memorial Day --
a shadow for each
white cross",en
4,spring rain -,as the doctor speaks,i think of lilacs,,,,,,,"spring rain -
as the doctor speaks
i think of lilacs",en
5,spring moonset --,a rice ball for,breakfast,,,,,,,"spring moonset --
a rice ball for
breakfast",en
6,sunny afternoon,an old man lingers,near the mailbox,,,,,,,"sunny afternoon
an old man lingers
near the mailbox",en
7,cinco de mayo,horses roll,in the shallows,,,,,,,"cinco de mayo
horses roll
in the shallows",en
8,quitting time,the smell of rain,in the lobby,,,,,,,"quitting time
the smell of rain
in the lobby",en
9,waves,slowly cresting towards shore,a faint moon,,,,,,,"waves
slowly cresting towards shore
a faint moon",en
10,overnight rain --,the scent of orange blossoms,in a desert town,,,,,,,"overnight rain --
the scent of orange blossoms
in a desert town",en
11,haru no ame,mukashi mukashi no,monogatari,,,,,,,"haru no ame
mukashi mukashi no
monogatari",sw
12,l'orage ce matin,un demi-cercle parfait,du rosier en fleurs,,,,,,,"l'orage ce matin
un demi-cercle parfait
du rosier en fleurs",fr
13,misty summer rain,calling pheasant,in Zen temple,,,,,,,"misty summer rain
calling pheasant
in Zen temple",en
14,day is done,poppies amidst,the dying grass,,,,,,,"day is done
poppies amidst
the dying grass",en
15,urban geese -,voices extemporise,around a sitar,,,,,,,"urban geese -
voices extemporise
around a sitar",fr
16,watching clouds,the white petals,of a crushed crocus,,,,,,,"watching clouds
the white petals
of a crushed crocus",en
17,mountain stream,   two well placed rocks,the path home,,,,,,,"mountain stream
   two well placed rocks
the path home",en
18,Après la pluie -,des capsules de bière,au bord du chemin,,,,,,,"Après la pluie -
des capsules de bière
au bord du chemin",fr
19,night shift--,in the parking lot car lights,dim near morning,,,,,,,"night shift--
in the parking lot car lights
dim near morning",en
20,a wild violet,on the sunny hill~,noon time nap,,,,,,,"a wild violet
on the sunny hill~
noon time nap",en
21,a sunny day,pink haze of the cherry blossoms,over the hill,,,,,,,"a sunny day
pink haze of the cherry blossoms
over the hill",en
22,macchie di rosso...,soltanto papaveri,nell'erba verde,,,,,,,"macchie di rosso...
soltanto papaveri
nell'erba verde",it
23,polished oak --,the freesia's shadow ends,in coffee foam,,,,,,,"polished oak --
the freesia's shadow ends
in coffee foam",en
24,matin de banlieue,les escargots gagnent l'herbe,de la voie ferrée,,,,,,,"matin de banlieue
les escargots gagnent l'herbe
de la voie ferrée",fr
25,nobody here,a table in the mountain,speckled with petals,,,,,,,"nobody here
a table in the mountain
speckled with petals",en
26,first date,not even noticing,the new moon,,,,,,,"first date
not even noticing
the new moon",en
27,vanishing difference . . .,  gliding geese settle onto,    their reflections,,,,,,,"vanishing difference . . .
  gliding geese settle onto
    their reflections",en
28,à l'horizon,la ligne jaune,du colza,,,,,,,"à l'horizon
la ligne jaune
du colza",fr
29,sentier désert,plus aucun passage,entre les orties,,,,,,,"sentier désert
plus aucun passage
entre les orties",fr
30,bruit d'avion,la boule de pissenlit,perd ses graines,,,,,,,"bruit d'avion
la boule de pissenlit
perd ses graines",fr
31,distant hawk,a gust of cherry petals,crosses the lawn,,,,,,,"distant hawk
a gust of cherry petals
crosses the lawn",en
32,multicolore,la lessive des voisins - ,pommiers en fleurs,,,,,,,"multicolore
la lessive des voisins - 
pommiers en fleurs",fr
33,Orange sunrise peaks through,The tubes and wires of father's,Life support machine,,,,,,,"Orange sunrise peaks through
The tubes and wires of father's
Life support machine",en
34,moonlessness--,so many ways,I want to touch you,,,,,,,"moonlessness--
so many ways
I want to touch you",en
35,earth day--,even the shadows at dusk,smell green,,,,,,,"earth day--
even the shadows at dusk
smell green",en
36,le niveau baisse,les pattes des flamands roses,rallongent,,,,,,,"le niveau baisse
les pattes des flamands roses
rallongent",fr
37,so cold -,a goose honks its way,across the night sky,,,,,,,"so cold -
a goose honks its way
across the night sky",en
38,damp straw . . .,   the day-old colt mesmerized,       by the radio,,,,,,,"damp straw . . .
   the day-old colt mesmerized
       by the radio",en
39,prying,   at the window . . .,       wind,,,,,,,"prying
   at the window . . .
       wind",en
40,in winter's wind,the call of a friend,who now has cancer,,,,,,,"in winter's wind
the call of a friend
who now has cancer",en
41,fin de l'hiver-,les graines de ciboulette,au creux de ma main,,,,,,,"fin de l'hiver-
les graines de ciboulette
au creux de ma main",fr
42,rainy bridge-,the river flowing,faster,,,,,,,"rainy bridge-
the river flowing
faster",en
43,spring breeze-,the balcony's shadows,on my book,,,,,,,"spring breeze-
the balcony's shadows
on my book",en
